listing_id,price,number_of_reviews,availability_365
2539,149.0,9.0,365.0
2595,225.0,45.0,355.0
3647,150.0,0.0,365.0
3831,89.0,270.0,194.0
5022,80.0,9.0,0.0
5099,200.0,74.0,129.0
5121,60.0,49.0,0.0
5178,79.0,430.0,220.0
5203,79.0,118.0,0.0
5238,150.0,160.0,188.0
5295,135.0,53.0,6.0
5441,85.0,188.0,39.0
5803,89.0,167.0,314.0
6021,85.0,113.0,333.0
6090,120.0,27.0,0.0
6848,140.0,148.0,46.0
7097,215.0,198.0,321.0
7322,140.0,260.0,12.0
7726,99.0,53.0,21.0
7750,190.0,0.0,249.0
7801,299.0,9.0,0.0
8024,130.0,130.0,347.0
8025,80.0,39.0,364.0
8110,110.0,71.0,304.0
8490,120.0,88.0,233.0
8505,60.0,19.0,85.0
8700,80.0,0.0,0.0
9357,150.0,58.0,75.0
9518,44.0,108.0,311.0
9657,180.0,29.0,67.0
9668,50.0,242.0,355.0
9704,52.0,88.0,255.0
9782,55.0,197.0,284.0
9783,50.0,273.0,359.0
10452,70.0,74.0,269.0
10962,89.0,168.0,340.0
11452,35.0,0.0,365.0
11708,85.0,231.0,22.0
11943,150.0,0.0,365.0
12048,40.0,214.0,188.0
12192,68.0,245.0,96.0
12299,120.0,15.0,345.0
12303,120.0,25.0,311.0
12318,135.0,81.0,273.0
12343,150.0,97.0,309.0
12627,150.0,11.0,95.0
12937,130.0,248.0,215.0
12940,110.0,61.0,265.0
13050,115.0,11.0,0.0
13394,80.0,135.0,192.0
13808,80.0,112.0,251.0
14287,151.0,73.0,302.0
14290,228.0,82.0,140.0
14314,144.0,328.0,234.0
14322,200.0,19.0,257.0
14377,150.0,105.0,30.0
14991,110.0,19.0,301.0
15220,69.0,289.0,294.0
15338,49.0,138.0,320.0
15341,180.0,21.0,154.0
15385,80.0,42.0,263.0
15396,375.0,5.0,180.0
15711,250.0,66.0,231.0
16326,200.0,143.0,297.0
16338,55.0,27.0,292.0
16421,52.0,191.0,191.0
16458,225.0,4.0,0.0
16580,80.0,338.0,72.0
16595,275.0,148.0,362.0
16821,99.0,106.0,336.0
16974,225.0,190.0,215.0
17037,230.0,49.0,116.0
17092,51.0,23.0,88.0
17693,65.0,49.0,336.0
17747,105.0,105.0,304.0
18127,190.0,21.0,224.0
18152,200.0,142.0,322.0
18198,70.0,25.0,324.0
18590,95.0,143.0,132.0
18728,150.0,167.0,295.0
18764,145.0,61.0,238.0
19159,110.0,54.0,209.0
19169,285.0,70.0,328.0
19282,130.0,16.0,38.0
19319,94.0,94.0,188.0
19601,800.0,25.0,7.0
19812,105.0,61.0,272.0
20299,60.0,194.0,26.0
20300,50.0,2.0,0.0
20611,85.0,174.0,288.0
20724,65.0,24.0,317.0
20734,131.0,166.0,207.0
20755,98.0,16.0,185.0
20853,250.0,21.0,158.0
20913,100.0,168.0,0.0
21293,105.0,118.0,9.0
21456,140.0,81.0,198.0
21644,89.0,1.0,365.0
21794,98.0,30.0,364.0
22911,125.0,139.0,311.0
22918,60.0,11.0,219.0
23135,175.0,233.0,342.0
23501,65.0,68.0,312.0
23686,500.0,46.0,243.0
24143,101.0,335.0,152.0
24285,220.0,88.0,9.0
25235,125.0,162.0,137.0
25406,80.0,29.0,222.0
25696,100.0,170.0,346.0
26012,200.0,19.0,208.0
26362,59.0,334.0,279.0
26520,125.0,19.0,250.0
26559,140.0,12.0,164.0
26785,120.0,467.0,192.0
26933,350.0,7.0,298.0
26954,199.0,38.0,260.0
26969,325.0,324.0,107.0
27006,235.0,27.0,199.0
27385,225.0,115.0,299.0
27531,99.0,354.0,20.0
27644,170.0,195.0,318.0
27659,400.0,16.0,216.0
27759,170.0,13.0,224.0
27883,100.0,25.0,0.0
28321,75.0,9.0,324.0
28396,90.0,9.0,245.0
28907,150.0,21.0,189.0
29012,85.0,36.0,307.0
29013,70.0,63.0,310.0
29455,120.0,155.0,213.0
29628,89.0,260.0,278.0
29683,185.0,73.0,209.0
30031,50.0,193.0,0.0
30927,105.0,32.0,16.0
31130,130.0,50.0,234.0
31555,115.0,26.0,12.0
